Evaluations,Fitness
381225,(np.float64(0.17371308800898078),)
381929,(np.float64(0.16314283260169304),)
382309,(np.float64(0.15938222333159047),)
382395,(np.float64(0.1568009336756404),)
382768,(np.float64(0.15652936824324115),)
384336,(np.float64(0.14458336308393882),)
384357,(np.float64(0.14247746557612118),)
384783,(np.float64(0.13815543084513138),)
385986,(np.float64(0.11756838168810191),)
387882,(np.float64(0.1116490408143136),)
389983,(np.float64(0.09903548385284466),)
390365,(np.float64(0.08833983352849373),)
390720,(np.float64(0.08524947371142844),)
393291,(np.float64(0.08088882971208022),)
393958,(np.float64(0.07610257240071405),)
394033,(np.float64(0.07511562720310394),)
394914,(np.float64(0.0715319302764783),)
395807,(np.float64(0.06966370025270407),)
396391,(np.float64(0.0606925344471847),)
398691,(np.float64(0.03756657775079475),)
406269,(np.float64(0.03574921992742475),)
407279,(np.float64(0.035375011235828424),)
407369,(np.float64(0.03271246336225886),)
407779,(np.float64(0.028195170863114072),)
410486,(np.float64(0.02723821685049188),)
410529,(np.float64(0.02544787067438392),)
411086,(np.float64(0.021869673535206857),)
411916,(np.float64(0.01982762073464528),)
413201,(np.float64(0.017966353808560598),)
416771,(np.float64(0.017199061230712687),)
417967,(np.float64(0.013772705509609295),)
420046,(np.float64(0.013399330381503205),)
420078,(np.float64(0.013248512999325612),)
420560,(np.float64(0.012093389783672137),)
421301,(np.float64(0.01194791648208593),)
422490,(np.float64(0.010168636575485834),)
426264,(np.float64(0.010168382732103964),)
426908,(np.float64(0.009963410834302522),)
427355,(np.float64(0.008654704494006182),)
427478,(np.float64(0.008449650955867583),)
428001,(np.float64(0.008168985528868689),)
428595,(np.float64(0.0076392699178313705),)
429735,(np.float64(0.007603186571827791),)
430908,(np.float64(0.007575318328008507),)
430993,(np.float64(0.007258714265844901),)
431059,(np.float64(0.0068292521517605564),)
432288,(np.float64(0.005511472170383058),)
433267,(np.float64(0.005505764832150817),)
433490,(np.float64(0.005368800682390429),)
434419,(np.float64(0.005210817110310018),)
435048,(np.float64(0.0046007222707658),)
436696,(np.float64(0.004408828461578196),)
436943,(np.float64(0.004148896957076431),)
439157,(np.float64(0.0040895823306073),)
439305,(np.float64(0.0036415494474795196),)
439850,(np.float64(0.0035001831824956753),)
441671,(np.float64(0.0032877277708394104),)
441693,(np.float64(0.0027710410721510925),)
444848,(np.float64(0.0027489216938647587),)
445063,(np.float64(0.002108580333469945),)
445671,(np.float64(0.0018391812095615023),)
448332,(np.float64(0.0014349926038903504),)
449954,(np.float64(0.0013232846074515692),)
455256,(np.float64(0.0013222732171698226),)
455361,(np.float64(0.001027967515938144),)
459543,(np.float64(0.0009051937421418188),)
459912,(np.float64(0.0007940760683595727),)
461359,(np.float64(0.0007770888058757919),)
462496,(np.float64(0.0006668410043175754),)
463345,(np.float64(0.0006655414506440138),)
463384,(np.float64(0.0006325599982801577),)
463560,(np.float64(0.0006277094844335807),)
464822,(np.float64(0.0005998737246954988),)
465905,(np.float64(0.0005982640841466491),)
466871,(np.float64(0.0005115765800383087),)
467917,(np.float64(0.00046868441813785466),)
469383,(np.float64(0.0004484570870317839),)
469433,(np.float64(0.0004151852122049604),)
470110,(np.float64(0.0003989770708585638),)
471881,(np.float64(0.0003708418912538036),)
472447,(np.float64(0.0003514226417564714),)
475627,(np.float64(0.0003207011916401825),)
475700,(np.float64(0.0003040428032363707),)
478113,(np.float64(0.0002885436757651405),)
478183,(np.float64(0.0002555562761017427),)
480946,(np.float64(0.00024456794187699415),)
481384,(np.float64(0.00023402636588798487),)
481857,(np.float64(0.00022319636184420233),)
485099,(np.float64(0.00019905571161871194),)
485337,(np.float64(0.00019502265149640152),)
486399,(np.float64(0.000194202028296786),)
487202,(np.float64(0.000170367892565082),)
487564,(np.float64(0.0001575722617417341),)
489137,(np.float64(0.00014000074634168413),)
490352,(np.float64(0.00013935881361248903),)
490564,(np.float64(0.0001383309594302773),)
491207,(np.float64(0.00013755618135746772),)
492266,(np.float64(0.0001336830143827683),)
492491,(np.float64(0.000130187478021071),)
492586,(np.float64(0.00013013701357067475),)
492989,(np.float64(0.0001284896347897302),)
493510,(np.float64(0.00012028604044189706),)
494395,(np.float64(0.00011538646640474326),)
494474,(np.float64(0.00010370977736329223),)
494503,(np.float64(9.43290402801722e-05),)
495620,(np.float64(8.450170867035922e-05),)
495884,(np.float64(7.595237025270762e-05),)
498038,(np.float64(7.498652303183917e-05),)
499182,(np.float64(6.931458392500645e-05),)
499230,(np.float64(6.391049043941166e-05),)
500857,(np.float64(6.212073083133873e-05),)
501047,(np.float64(5.6071446124406066e-05),)
501627,(np.float64(5.5199929988702934e-05),)
501824,(np.float64(5.1280015782140254e-05),)
502145,(np.float64(5.059038358012913e-05),)
504142,(np.float64(4.7761030032233975e-05),)
504762,(np.float64(4.1146253806800814e-05),)
505254,(np.float64(4.071196428867552e-05),)
507131,(np.float64(4.061458025717002e-05),)
507626,(np.float64(3.539269800967304e-05),)
508115,(np.float64(3.339515308198315e-05),)
510250,(np.float64(3.130944878648734e-05),)
510420,(np.float64(2.981404657020903e-05),)
510688,(np.float64(2.7592588253355643e-05),)
510967,(np.float64(2.7066134634878836e-05),)
512500,(np.float64(2.4030326017054904e-05),)
512944,(np.float64(2.224573609055369e-05),)
515191,(np.float64(2.206023134476709e-05),)
515262,(np.float64(2.1304696701918147e-05),)
516001,(np.float64(1.923731247188698e-05),)
517422,(np.float64(1.840407799136301e-05),)
517445,(np.float64(1.793865374111192e-05),)
517620,(np.float64(1.5698433685429336e-05),)
519042,(np.float64(1.4023456060385797e-05),)
521720,(np.float64(1.3334116033547616e-05),)
522487,(np.float64(1.2086514630027523e-05),)
522615,(np.float64(1.1743684922294051e-05),)
522697,(np.float64(1.1354156413290184e-05),)
523610,(np.float64(1.1113999676126696e-05),)
524417,(np.float64(1.0900809911618126e-05),)
524973,(np.float64(1.0005446256400319e-05),)
527143,(np.float64(9.772351404535584e-06),)
527796,(np.float64(9.47069918311172e-06),)
528011,(np.float64(9.27607345602155e-06),)
528101,(np.float64(9.088563956538565e-06),)
528334,(np.float64(8.476097264065174e-06),)
528826,(np.float64(8.121961741380801e-06),)
529594,(np.float64(7.748563575660228e-06),)
529974,(np.float64(6.979387762839906e-06),)
530130,(np.float64(6.786412541259779e-06),)
531026,(np.float64(6.549113322762423e-06),)
531941,(np.float64(6.249129000934772e-06),)
533343,(np.float64(5.1414911013125675e-06),)
535920,(np.float64(4.691598178396816e-06),)
537019,(np.float64(4.398824216877983e-06),)
538998,(np.float64(4.194220764475176e-06),)
539929,(np.float64(4.166390908721951e-06),)
541303,(np.float64(3.324575800434104e-06),)
541892,(np.float64(3.208061798432027e-06),)
543045,(np.float64(2.9294421892700484e-06),)
543608,(np.float64(2.923597662629618e-06),)
544268,(np.float64(2.810975843203778e-06),)
544782,(np.float64(2.6252923817082774e-06),)
547439,(np.float64(2.4123226012306986e-06),)
548672,(np.float64(2.0266120372980367e-06),)
549750,(np.float64(1.9461784859231557e-06),)
550227,(np.float64(1.945359144883696e-06),)
550725,(np.float64(1.7241708292203839e-06),)
550806,(np.float64(1.6935616713453783e-06),)
551773,(np.float64(1.6868195871211356e-06),)
552220,(np.float64(1.3216706520324806e-06),)
554493,(np.float64(1.302752252740902e-06),)
554769,(np.float64(1.2440056025297963e-06),)
555612,(np.float64(1.1864283351314953e-06),)
556249,(np.float64(1.0619841077641468e-06),)
557318,(np.float64(1.0045694125437876e-06),)
558816,(np.float64(9.3122071120888e-07),)
558993,(np.float64(9.283835424866993e-07),)
559577,(np.float64(8.601032277510967e-07),)
561826,(np.float64(7.663958285775152e-07),)
561945,(np.float64(6.07493461757258e-07),)
564210,(np.float64(5.839360710524488e-07),)
567470,(np.float64(4.892231117992196e-07),)
570207,(np.float64(4.3862439724762226e-07),)
573774,(np.float64(4.2013027723442065e-07),)
574285,(np.float64(4.1515124848956475e-07),)
574631,(np.float64(4.09038079851598e-07),)
575108,(np.float64(4.064872882736381e-07),)
575286,(np.float64(4.0573740989202634e-07),)
575381,(np.float64(3.702589310705662e-07),)
575815,(np.float64(3.652578470791923e-07),)
576270,(np.float64(3.5658797514770413e-07),)
576295,(np.float64(3.470115643722238e-07),)
576312,(np.float64(2.852179932233412e-07),)
580161,(np.float64(2.842466528818477e-07),)
580192,(np.float64(2.694173417694401e-07),)
581183,(np.float64(2.560212806201889e-07),)
581679,(np.float64(2.405921577519621e-07),)
582076,(np.float64(2.293187435498112e-07),)
583028,(np.float64(2.2206313587957993e-07),)
583617,(np.float64(2.1915434444963466e-07),)
583648,(np.float64(2.0218055851728423e-07),)
584583,(np.float64(1.9563208297768142e-07),)
585541,(np.float64(1.618973328731954e-07),)
586768,(np.float64(1.2723410236503696e-07),)
588303,(np.float64(1.2254633929842385e-07),)
591903,(np.float64(1.1238796560064657e-07),)
593544,(np.float64(1.0611415746097919e-07),)
595417,(np.float64(1.0254234439344145e-07),)
596325,(np.float64(1.002294993668329e-07),)
596562,(np.float64(9.739028428157326e-08),)
596850,(np.float64(9.618372587283375e-08),)
597174,(np.float64(6.765390025975648e-08),)
