Evaluations,Fitness
4581,(14.250877721901348,)
4671,(14.247265452355308,)
4695,(14.123769401566014,)
5009,(14.077073650986485,)
5083,(14.066971603496231,)
5100,(14.010755584145105,)
5226,(14.01016956698373,)
5264,(13.999797106311634,)
5278,(13.945567698164071,)
5303,(13.852756389597015,)
5441,(13.841536079275276,)
5467,(13.77477862587187,)
5490,(13.772498601220839,)
5510,(13.740075241363497,)
5532,(13.683234088242273,)
5605,(13.673544886598256,)
5613,(13.500561471436564,)
5649,(13.46218589366022,)
5710,(13.443145713083616,)
5770,(13.374938416756539,)
5786,(13.254842041825341,)
5938,(13.253657823710569,)
5946,(13.167847309117313,)
5983,(13.155972569128071,)
6130,(13.10782524774177,)
6144,(13.083868138314802,)
6146,(13.0614809779088,)
6189,(12.980406282351439,)
6220,(12.889227102488533,)
6224,(12.803847166923605,)
6234,(12.707751211876566,)
6360,(12.587332315526615,)
6398,(12.500711337295197,)
6438,(12.427676457010001,)
6476,(12.393779258789579,)
6512,(12.314223630742186,)
6517,(12.292648202898782,)
6538,(12.265976797152533,)
6617,(12.249802600483827,)
6642,(12.248477918092709,)
6657,(12.111776969300642,)
6692,(12.070450382723939,)
6756,(11.985464355374507,)
6797,(11.910044571481443,)
6800,(11.839106177983028,)
6888,(11.824635063714044,)
6944,(11.773076086576918,)
6991,(11.656289203226542,)
6992,(11.592707129495313,)
7121,(11.536010132964305,)
7226,(11.530943886785094,)
7267,(11.154843883443256,)
7333,(11.148324950281136,)
7335,(11.054666233758336,)
7604,(10.943061903417368,)
7643,(10.916437654397829,)
7665,(10.733834323599487,)
7707,(10.682660847219775,)
7826,(10.680592941936785,)
7938,(10.632539567657933,)
7939,(10.58832189190421,)
8139,(10.555865580229531,)
8185,(10.53548175140634,)
8300,(10.498303265144461,)
8350,(10.405545124554699,)
8704,(10.343892592783877,)
8715,(10.331804259351406,)
9056,(10.178970201213449,)
9244,(10.131376003137358,)
9263,(10.078091486997167,)
9296,(10.053369454035664,)
9554,(10.00578010344439,)
9668,(9.98038663366678,)
9994,(9.905429926342944,)
10274,(9.866994698321582,)
10379,(9.866852131558176,)
10487,(9.808999542036286,)
10541,(9.779859899181464,)
10594,(9.761115317043235,)
10776,(9.732750664205044,)
10837,(9.73045852652037,)
10897,(9.703674837078765,)
11026,(9.693700147627279,)
11162,(9.674905309687972,)
11293,(9.594741770574235,)
11574,(9.57667559561283,)
11776,(9.571637536610242,)
11787,(9.559725316508176,)
11904,(9.554258195613976,)
12044,(9.5464351771204,)
12182,(9.531617728595359,)
12378,(9.525803176900778,)
12434,(9.523226847989175,)
12436,(9.519303225799042,)
12488,(9.5131056475574,)
12496,(9.50416507458283,)
12572,(9.50052463122759,)
12598,(9.498201322903821,)
12630,(9.492232074094272,)
12690,(9.492216291852932,)
12691,(9.486990387935315,)
12735,(9.481185634272812,)
12781,(9.481180442130078,)
12808,(9.480910408413735,)
12823,(9.477797685851801,)
12830,(9.47288859373802,)
12889,(9.472437346387744,)
12900,(9.465994211862517,)
12936,(9.465416112800938,)
13014,(9.461709342178235,)
13037,(9.461330104162437,)
13050,(9.458980808519685,)
13064,(9.453139343330587,)
13177,(9.451047733984995,)
13197,(9.449539998469216,)
13265,(9.449422107067402,)
13274,(9.447728648544611,)
13302,(9.443733722063108,)
13304,(9.442731237907928,)
13306,(9.440903350583758,)
13370,(9.43589892201718,)
13391,(9.42955618874375,)
13449,(9.426631142550615,)
13477,(9.422670157488826,)
13562,(9.419960924377943,)
13586,(9.417249172189434,)
13603,(9.414618116585805,)
13633,(9.41240971801873,)
13666,(9.411661144202576,)
13693,(9.410234363028117,)
13730,(9.409456742315289,)
13751,(9.408046456843055,)
13807,(9.406751576082788,)
13828,(9.404817846052017,)
13830,(9.404732901249151,)
13880,(9.404289773665429,)
13897,(9.401906498591693,)
13969,(9.400245566841011,)
14051,(9.39997789334204,)
14055,(9.398430423171753,)
14098,(9.397765320453493,)
14101,(9.397259855107027,)
14121,(9.395996827122136,)
14128,(9.395972574809857,)
14193,(9.39393355026134,)
14293,(9.39189288827165,)
14314,(9.391729175622697,)
14385,(9.390594696947494,)
14406,(9.39055014683964,)
14423,(9.389987099645175,)
14432,(9.389879740308356,)
14454,(9.38910717692404,)
14466,(9.386949252586962,)
14514,(9.386423350930018,)
14577,(9.385471575439924,)
