Evaluations,Fitness
352808,(0.012163230552571846,)
354442,(0.012043927928027998,)
355350,(0.011387177373321844,)
355736,(0.01106435442423992,)
356438,(0.010703251443574757,)
356872,(0.009842410625001463,)
359198,(0.009765205473200478,)
359672,(0.009584475518814362,)
361563,(0.009338601754213194,)
361647,(0.009086817058840513,)
362073,(0.008452986204315227,)
365041,(0.008285874415213001,)
365090,(0.00814188502863189,)
366394,(0.007946728821993432,)
367478,(0.007806979186052221,)
367748,(0.007715800292873443,)
368263,(0.007039065366020392,)
370245,(0.007004817966187904,)
370503,(0.006874608158272011,)
371145,(0.006537316313247832,)
372165,(0.006189082186449646,)
373589,(0.005496139730589711,)
374863,(0.005005939771793422,)
376980,(0.00494670945492981,)
378466,(0.004680600835425874,)
380495,(0.0046680462282013835,)
381121,(0.0044145553679402205,)
381215,(0.004301594693847832,)
382700,(0.003907372821497113,)
385185,(0.0038565948688615848,)
385490,(0.003843388283700566,)
385703,(0.0037153061758194994,)
385955,(0.0036864125912661194,)
387115,(0.003304510788022519,)
389575,(0.0030584009970051618,)
390357,(0.003055747516652829,)
390421,(0.0028553079242819024,)
392925,(0.002832815072925321,)
394351,(0.0027552460074238283,)
394927,(0.002702892156345449,)
396496,(0.002674684459819332,)
396722,(0.0023695538957690943,)
398982,(0.0023256120270560565,)
399909,(0.002320834502405944,)
400029,(0.0023008909084727414,)
401745,(0.0022307501915559413,)
402102,(0.002183725627781463,)
402493,(0.0021502682093021974,)
403534,(0.002022123867813974,)
405783,(0.002018187133155269,)
406259,(0.0020158979015376666,)
406661,(0.001999048463614095,)
406839,(0.0019036663473839255,)
407975,(0.0018587031417016675,)
408428,(0.0017824759624236464,)
408488,(0.0016182815724961053,)
410712,(0.0015839811534434922,)
411033,(0.0015759625983404746,)
411653,(0.0015665373841331487,)
412275,(0.001560973596537174,)
412414,(0.001549301790160218,)
412891,(0.0014761962741149937,)
414337,(0.0014354826630977868,)
415252,(0.0014309180580607261,)
415600,(0.0013656843986531442,)
417005,(0.0013445003294099145,)
417735,(0.0012220888305178867,)
421519,(0.0012216394659847474,)
421967,(0.0011791588780738493,)
423550,(0.0011499393052925022,)
424530,(0.001145733100505364,)
424666,(0.0011072564782557137,)
424772,(0.0010583517549402899,)
425236,(0.0010274002021457562,)
428306,(0.0009989395560530134,)
430020,(0.0009177373006692413,)
431182,(0.0009061587274410421,)
433303,(0.000847656105365413,)
434770,(0.0008246946160355151,)
435223,(0.0007693606550960297,)
437477,(0.0007665250248019007,)
437855,(0.0007449879369669787,)
438309,(0.0007448910179128632,)
438944,(0.0007009265325899072,)
441259,(0.0006663399413877613,)
443002,(0.0006472026728121527,)
444207,(0.0006457718892347586,)
444331,(0.0006329782757781288,)
