Evaluations,Fitness
2495,(np.float64(425957.2214058763),)
2508,(np.float64(422256.1794255457),)
2513,(np.float64(415973.8517123754),)
2519,(np.float64(411025.0885727367),)
2525,(np.float64(410877.0681827887),)
2543,(np.float64(401061.6414969323),)
2549,(np.float64(397243.1248381122),)
2570,(np.float64(392778.70673193486),)
2574,(np.float64(392187.8764823765),)
2587,(np.float64(381563.78664205136),)
2617,(np.float64(371656.9639269564),)
2633,(np.float64(367819.8519082351),)
2647,(np.float64(351442.2743459018),)
2677,(np.float64(346735.5678963399),)
2690,(np.float64(336770.65362234425),)
2701,(np.float64(327950.43147930707),)
2711,(np.float64(326638.5804330747),)
2726,(np.float64(321420.6907550933),)
2728,(np.float64(316545.19860208174),)
2731,(np.float64(305641.7510212024),)
2735,(np.float64(303568.6884702713),)
2743,(np.float64(303430.13971252926),)
2761,(np.float64(287087.1036481247),)
2791,(np.float64(286775.3972695596),)
2793,(np.float64(279811.66822165245),)
2823,(np.float64(277230.3193141649),)
2827,(np.float64(266041.7151260111),)
2883,(np.float64(265501.4599451904),)
2885,(np.float64(263586.5154073251),)
2896,(np.float64(261416.54364264465),)
2913,(np.float64(254858.65656536174),)
2951,(np.float64(248557.37609755064),)
2965,(np.float64(248549.06613218793),)
2973,(np.float64(244793.26635089333),)
2989,(np.float64(244005.9891043369),)
2990,(np.float64(238049.25937162148),)
3003,(np.float64(233742.04601957306),)
3006,(np.float64(229688.82702471674),)
3032,(np.float64(227244.24035507478),)
3036,(np.float64(220987.08642684759),)
3079,(np.float64(220097.4506216742),)
3085,(np.float64(219476.37128976954),)
3087,(np.float64(216598.5512751291),)
3100,(np.float64(216231.89159317428),)
3113,(np.float64(211982.87359947598),)
3121,(np.float64(207063.29311679656),)
3130,(np.float64(199014.4617577989),)
3151,(np.float64(196094.06730549288),)
3154,(np.float64(195131.67358506282),)
3194,(np.float64(193710.8189251676),)
3197,(np.float64(191455.6904847334),)
3202,(np.float64(191203.44193708425),)
3213,(np.float64(185551.81133362468),)
3215,(np.float64(180210.60119161458),)
3244,(np.float64(175845.81147685953),)
3281,(np.float64(173627.0718146313),)
3297,(np.float64(167879.5976920047),)
3311,(np.float64(163213.70115705635),)
3351,(np.float64(161856.82629244853),)
3355,(np.float64(160690.11025360663),)
3381,(np.float64(157298.18879643994),)
3402,(np.float64(154363.7354528419),)
3430,(np.float64(152235.29455010715),)
3451,(np.float64(149060.2413265637),)
3459,(np.float64(146819.48395245886),)
3481,(np.float64(146807.13560167365),)
3491,(np.float64(144335.9734249728),)
3497,(np.float64(142282.96848481265),)
3519,(np.float64(137498.3608121361),)
3542,(np.float64(133465.86223800565),)
3553,(np.float64(128986.0788165785),)
3572,(np.float64(124559.77987504117),)
3604,(np.float64(120019.31311196322),)
3639,(np.float64(118745.36019373217),)
3684,(np.float64(116508.57086410701),)
3701,(np.float64(107923.64674363322),)
3750,(np.float64(107027.96975312845),)
3759,(np.float64(106708.44194236877),)
3791,(np.float64(104524.57881085922),)
3802,(np.float64(104145.52418344277),)
3814,(np.float64(102074.9125206066),)
3838,(np.float64(101802.42017538249),)
3840,(np.float64(101517.15407567493),)
3845,(np.float64(99360.66647495878),)
3854,(np.float64(98411.03623359109),)
3888,(np.float64(97892.5048645181),)
3897,(np.float64(95235.96410098637),)
3908,(np.float64(88022.0185006376),)
4047,(np.float64(87402.40172992693),)
4057,(np.float64(86963.9047672456),)
4058,(np.float64(85681.901437041),)
4060,(np.float64(85666.83193919704),)
4064,(np.float64(84726.12442475937),)
4078,(np.float64(84283.65829437287),)
4129,(np.float64(82493.0030422982),)
4144,(np.float64(79090.69187387012),)
4181,(np.float64(76599.87283829576),)
4215,(np.float64(76091.46435972866),)
4228,(np.float64(73367.93047667516),)
4269,(np.float64(71458.97226340763),)
4293,(np.float64(69748.18326200893),)
4311,(np.float64(66596.11316966655),)
4337,(np.float64(65977.94967146133),)
4359,(np.float64(64858.20706346622),)
4495,(np.float64(64527.18978717762),)
4499,(np.float64(63409.716153793066),)
4501,(np.float64(63103.17713145203),)
4507,(np.float64(61408.316303668595),)
4536,(np.float64(56762.016391016696),)
4609,(np.float64(56106.47836215737),)
4759,(np.float64(53725.8943492116),)
4771,(np.float64(53498.213668415214),)
4783,(np.float64(53327.39339742201),)
4801,(np.float64(52731.46531102706),)
4845,(np.float64(52079.29039538441),)
4913,(np.float64(51924.45474701048),)
4921,(np.float64(50674.927320867995),)
4958,(np.float64(50317.85997288663),)
4963,(np.float64(48321.96374741613),)
5102,(np.float64(48150.70964358813),)
5142,(np.float64(48091.267168127684),)
5145,(np.float64(47530.890076816715),)
5146,(np.float64(46003.5295223789),)
5202,(np.float64(44701.57239116133),)
5252,(np.float64(43060.675358930544),)
5288,(np.float64(42687.99699015846),)
5314,(np.float64(42508.415817478795),)
5363,(np.float64(41041.01261601472),)
5375,(np.float64(40384.64195998437),)
5437,(np.float64(40076.40029349351),)
5488,(np.float64(39316.276525732064),)
5548,(np.float64(38620.32180534532),)
5585,(np.float64(38357.12626151104),)
5611,(np.float64(37705.711472990326),)
5721,(np.float64(37463.13652182491),)
5731,(np.float64(35515.647236278775),)
5902,(np.float64(35360.949778194605),)
6108,(np.float64(33135.92975673805),)
6195,(np.float64(32752.26954831595),)
6228,(np.float64(32438.763625790827),)
6240,(np.float64(32343.145951923063),)
6248,(np.float64(32083.164042325916),)
6313,(np.float64(31879.249355968743),)
6352,(np.float64(31367.429393773695),)
6362,(np.float64(30611.289305252125),)
6379,(np.float64(30340.95431100822),)
6402,(np.float64(29796.164576884672),)
6455,(np.float64(29219.213587822982),)
6502,(np.float64(29046.21053961843),)
6541,(np.float64(28219.54766994818),)
6553,(np.float64(28020.061316867217),)
6557,(np.float64(27415.856541272977),)
6901,(np.float64(27292.89868083843),)
6935,(np.float64(26840.361746505103),)
6987,(np.float64(26581.354051677892),)
6996,(np.float64(25919.38204990676),)
7083,(np.float64(25064.565723094966),)
7169,(np.float64(22878.08205228832),)
7294,(np.float64(22666.494741711915),)
7391,(np.float64(22633.73819031075),)
7412,(np.float64(22005.72083282827),)
7463,(np.float64(20647.643748162027),)
7746,(np.float64(20204.701346613325),)
7847,(np.float64(18667.59588504358),)
8453,(np.float64(17768.9566851618),)
9022,(np.float64(17598.759306782795),)
9111,(np.float64(15463.599271129611),)
9484,(np.float64(15272.231670666066),)
9587,(np.float64(15140.469859447025),)
9910,(np.float64(13656.117163151457),)
13070,(np.float64(13053.60244914968),)
13203,(np.float64(13003.208500470386),)
13237,(np.float64(12962.684367311393),)
13420,(np.float64(12884.262836372174),)
13693,(np.float64(12658.324177148606),)
14252,(np.float64(11814.601348612758),)
14434,(np.float64(11471.467076024292),)
14592,(np.float64(11305.073565386943),)
14768,(np.float64(10081.644554769622),)
