Evaluations,Fitness
11991,(np.float64(8589.396813708692),)
12147,(np.float64(8581.765470501778),)
12188,(np.float64(8547.653740969385),)
12268,(np.float64(8432.458763342698),)
12317,(np.float64(8348.542053751285),)
12369,(np.float64(8338.626513488078),)
12386,(np.float64(8303.47284927735),)
12516,(np.float64(8289.482843159007),)
12545,(np.float64(8275.447970661337),)
12620,(np.float64(8271.358059484848),)
12659,(np.float64(8264.309114760803),)
12722,(np.float64(7997.058958019502),)
12854,(np.float64(7927.100779692954),)
12875,(np.float64(7745.205955071212),)
13129,(np.float64(7740.131292669698),)
13191,(np.float64(7652.364007203707),)
13260,(np.float64(7539.623327026318),)
13970,(np.float64(7500.153734496438),)
14070,(np.float64(7478.193314802791),)
14102,(np.float64(7421.716218362489),)
14136,(np.float64(7417.415212922473),)
14297,(np.float64(7407.2034394141965),)
